"","study","time","cra","cra_lower","cra_upper","msl","msl_lower","msl_upper","sortby","display","cra_0","msl_0","cra_se","msl_se","cra_k","msl_k"
"566","M20-466",60,1.00117555139264,1.00072845233602,1.00162285020131,1.09390685909202,1.03522992637892,1.15590960604686,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"567","M20-466",61,1.00106357776916,1.00065907981016,1.00146823923899,1.09165889927412,1.03440876296397,1.152077587732,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"568","M20-466",62,1.0009622749825,1.00059631578955,1.00132836802176,1.0894669221745,1.0336070488411,1.14834566564073,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"569","M20-466",63,1.00087062519623,1.00053953038359,1.00120182957354,1.08732943399291,1.03282430928057,1.1447109517115,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"570","M20-466",64,1.00078770782868,1.00048815380448,1.00108735154171,1.08524498530507,1.03206008177741,1.14117065365175,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"571","M20-466",65,1.00071269022958,1.00044167062066,1.00098378325769,1.08321216954513,1.03131391570816,1.13772207121338,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"572","M20-466",66,1.00064481925616,1.00039961456175,1.0008900840519,1.08122962154834,1.03058537199849,1.13436259263661,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"573","M20-466",67,1.00058341366073,1.00036156382175,1.00080531269927,1.07929601615141,1.02987402280128,1.13108969125351,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"574","M20-466",68,1.00052785721075,1.00032713681239,1.00072861788461,1.07741006684784,1.02917945118484,1.12790092224313,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"575","M20-466",69,1.00047759247044,1.00029598832328,1.00065922958791,1.07557052449579,1.02850125083082,1.12479391953063,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"576","M20-466",70,1.00043211517951,1.00026780604954,1.00059645129975,1.07377617607613,1.02783902574152,1.12176639282291,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"577","M20-466",71,1.00039096917144,1.00024230745176,1.00053965298606,1.07202584349838,1.02719238995627,1.1188161247742,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"578","M20-466",72,1.00035374177895,1.00021923691616,1.00048826472933,1.07031838245252,1.02656096727651,1.11594096827492,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"579","M20-466",73,1.0003200596799,1.00019836318624,1.00044177098065,1.06865268130459,1.02594439099933,1.11313884385789,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"580","M20-466",74,1.00028958514089,1.00017947703989,1.00039970536352,1.0670276600341,1.02534230365911,1.11040773721591,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"581","M20-466",75,1.00026201262051,1.0001623891883,1.00036164597593,1.06544226921163,1.02475435677697,1.10774569682547,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"582","M20-466",76,1.00023706569743,1.00014692837557,1.00032721114282,1.06389548901461,1.0241802106179,1.10515083167128,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"583","M20-466",77,1.00021449429235,1.00013293965972,1.00029605557525,1.06238632827985,1.02361953395509,1.10262130906682,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"584","M20-466",78,1.00019407215541,1.00012028285771,1.00026786689732,1.06091382359115,1.02307200384138,1.10015535256626,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"585","M20-466",79,1.00017559459369,1.00010883113892,1.00024236250534,1.05947703840053,1.02253730538751,1.09775123996339,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"586","M20-466",80,1.00015887641576,1.00009846975271,1.00021928672741,1.05807506218161,1.02201513154692,1.09540730137343,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"587","M20-466",81,1.00014375007247,1.00008909487742,1.00019840825445,1.05670700961385,1.02150518290702,1.09312191739381,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"588","M20-466",82,1.00013006397529,1.00008061257905,1.00017951781678,1.05537201979626,1.02100716748648,1.09089351734015,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"589","M20-466",83,1.00011768097502,1.0000729378693,1.00016242608254,1.05406925548951,1.02052080053856,1.088720577554,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"590","M20-466",84,1.00010647698575,1.00006599385337,1.00014696175691,1.0527979023851,1.02004580436012,1.08660161977899,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"591","M20-466",85,1.00009633974004,1.00005971095898,1.00013296986268,1.05155716840054,1.01958190810623,1.08453520960217,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"592","M20-466",86,1.00008716766279,1.00005402623891,1.00012031018497,1.05034628299952,1.01912884761013,1.0825199549576,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"593","M20-466",87,1.00007886885257,1.00004888273996,1.0001088558643,1.04916449653597,1.0186863652084,1.08055450468938,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
"594","M20-466",88,1.00007136015999,1.00004422893207,1.00009849212397,1.0480110796211,1.01825420957112,1.07863754717123,"Immunology M20-466","   M20-466",0.475194167099543,0.36076479609089,0.0921779490403664,0.113062480403203,-0.100042894558267,-0.0231856034865149
