"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"M23-696 Spain CRA Engaged","CRA Window","Spain","Overall","M23-696","Overall",NA,NA,-0.82971029190523,0.430242535999168,27,31,0.436175631630247,"Immunology >> M23-696","   M23-696"
"M23-696 Spain MSL Engaged","MSL Window","Spain","Overall","M23-696","Overall",NA,NA,0.737078230693259,0.471599781670627,27,31,2.08982061195659,"Immunology >> M23-696","   M23-696"
"M23-696 Taiwan CRA Engaged","CRA Window","Taiwan","Overall","M23-696","Overall",NA,NA,-0.613474240636524,0.402240047392964,27,31,0.541466412828008,"Immunology >> M23-696","   M23-696"
"M23-696 Taiwan MSL Engaged","MSL Window","Taiwan","Overall","M23-696","Overall",NA,NA,1.4394402647935,0.447354952043952,27,31,4.21833400600791,"Immunology >> M23-696","   M23-696"
"M23-696 Turkey CRA Engaged","CRA Window","Turkey","Overall","M23-696","Overall",NA,NA,-0.828078413264202,0.823483299972464,27,31,0.436887998417226,"Immunology >> M23-696","   M23-696"
"M23-696 Turkey MSL Engaged","MSL Window","Turkey","Overall","M23-696","Overall",NA,NA,2.26649838223623,0.75036501512739,27,31,9.64556652418599,"Immunology >> M23-696","   M23-696"
"M23-696 United States of America CRA Engaged","CRA Window","United States of America","Overall","M23-696","Overall",NA,NA,-0.0848525356213295,0.274826432843392,27,31,0.918647742232135,"Immunology >> M23-696","   M23-696"
"M23-696 United States of America MSL Engaged","MSL Window","United States of America","Overall","M23-696","Overall",NA,NA,0.618671986109986,0.347432998454599,27,31,1.856460998083,"Immunology >> M23-696","   M23-696"
"M23-698 CRA Engaged","CRA Window","Overall","Overall","M23-698","Overall",NA,NA,0.338497847070053,0.187199121479572,18,19,1.40283872873704,"Immunology >> M23-698","   M23-698"
"M23-698 MSL Engaged","MSL Window","Overall","Overall","M23-698","Overall",NA,NA,0.368706319968665,0.198896026871974,18,19,1.44586292024955,"Immunology >> M23-698","   M23-698"
"M23-698 United States of America CRA Engaged","CRA Window","United States of America","Overall","M23-698","Overall",NA,NA,0.254201923385188,0.474521459947938,18,19,1.28943214448612,"Immunology >> M23-698","   M23-698"
"M23-698 United States of America MSL Engaged","MSL Window","United States of America","Overall","M23-698","Overall",NA,NA,0.424440448330311,0.437511494146093,18,19,1.52873477420136,"Immunology >> M23-698","   M23-698"
"M23-699 CRA Engaged","CRA Window","Overall","Overall","M23-699","Overall",NA,NA,0.232433191133663,0.23562830579586,22,25,1.26166615305787,"Immunology >> M23-699","   M23-699"
"M23-699 MSL Engaged","MSL Window","Overall","Overall","M23-699","Overall",NA,NA,-0.0819939973807164,0.326377256666412,22,25,0.921277488757771,"Immunology >> M23-699","   M23-699"
"M23-700 CRA Engaged","CRA Window","Overall","Overall","M23-700","Overall",NA,NA,0.663434323866135,0.388328818573795,17,28,1.94144846099711,"Immunology >> M23-700","   M23-700"
"M23-700 MSL Engaged","MSL Window","Overall","Overall","M23-700","Overall",NA,NA,0.575431745125444,0.316861112681307,17,28,1.77789796001214,"Immunology >> M23-700","   M23-700"
